,X,deploy_num.x,site,bare,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,evenness,seagrass_comb,richness_comb,shannonD_comb,evenness_comb,totalcover,avg_shoot_density,avg_blade_length,max_10,max_25perc,site_code,habitat,depth_m_avg,temp_avg,sal_avg,dist_m_sum,total_abund_sum,comm_richness_sum,comm_shannonD_sum,comm_evenness_sum,carnivore,herbivore,omnivore,carn_2,detritivore,herb_2,invertivore,omni_2,piscivore,planktivore,X1_Depth_m,X2_Depth_m,X1_Temp_C,X2_Temp_C,X1_Sal_ppt,X2_Sal_ppt,X1_total_abund,X2_total_abund,X1_richness,X2_richness,X1_shannonD,X2_shannonD,X1_evenness,X2_evenness,avg_spl_low,avg_spl_Llow,avg_spl_MFlow,avg_spl_high
11,11,3,Seagrass_B,33.21212121,38.84848485,7.03030303,19.39393939,1.515151515,0,0,0,4,0.997120685,1.656181608,65.27272727,2,0.997120685,1.656181608,66.78787879,73.22222222,12.57451053,25.46393704,26.75420833,SB,seagrass,0.65,27.75,36,255,440,10,1.028821205,1.028821205,18.26797386,0,0.142602496,0,65.49019608,0,27.52228164,0,0.448179272,0.62745098,0.5,0.8,27.5,28,36,36,163.5658915,277.7777778,8,8,0.943006733,1.024280513,1.044200187,1.134195405,91.67867866,87.7478422,89.42751108,98.34259691
12,12,3,Seagrass_C,20.84848485,57.21212121,18.45454545,3.484848485,0,0,0,0,3,0.71160633,1.491458038,79.15151515,1,0.71160633,1.491458038,79.15151515,86.16666667,13.75742012,21.31653333,22.24694167,SC,seagrass,0.65,28.2,36,282,568.0851064,10,0.952243686,0.952243686,23.43380615,0,0.51579626,2.127659574,60.28368794,1.773049645,39.45841393,0,0.607902736,0.283687943,0.8,0.5,28.2,28.2,36,36,250.295858,334.5132743,6,9,0.707661534,1.105303826,0.909413862,1.158304954,99.56533144,99.16661156,88.99633238,98.93494234
13,13,4,Creek_8,87.24242424,0,0,0,0,5.727272727,7.03030303,0,2,0.687922012,2.285227458,0,2,0,2.285227458,12.75757576,NA,NA,NA,NA,C8,creek,0.8,28.9,36,187,3.20855615,1,0,NA,0.13368984,0,0,0,0,0,0.291686923,0,0,0,0.7,0.9,28.9,28.9,36,36,0,3.571428571,0,1,0,0,0,NA,90.1496371,89.24771826,82.88031075,87.4062221
14,14,4,Mudflat_7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,MF7,mudflat,0.6,27.3,36,281,0.711743772,1,0,NA,0.029655991,0,0,0,0,0,0,0,0,0.142348754,0.6,0.6,27.3,27.3,36,36,0,0.621118012,0,1,0,0,0,NA,103.1574991,102.3517892,95.44481407,92.61287199
15,15,4,Seagrass_6,57.72727273,41.15151515,0.757575758,0,0.363636364,0,0,0,3,0.139152821,0.291650854,41.90909091,2,0.139152821,0.291650854,42.27272727,64.46666667,20.22784848,21.54086667,21.88325833,SG6,seagrass,0.8,26.8,37,311,527.3311897,15,1.082551878,0.920465882,21.38263666,0,1.286173633,7.395498392,29.58199357,0,40.16369483,0.459347726,0.091869545,1.54340836,0.8,0.8,26.8,26.8,37,37,321.641791,219.7740113,12,12,1.060224699,1.048260886,0.982434325,0.971348316,94.57544979,92.65130218,90.11337948,101.0460477
16,16,4,Seagrass_9,57.81818182,41.27272727,0.454545455,0.454545455,0,0,0,0,3,0.118956735,0.249321811,42.18181818,1,0.118956735,0.249321811,42.18181818,70.5,22.55258442,14.8484,15.68575833,SG9,seagrass,0.8,26.9,36,273,868.1318681,14,0.928789973,0.810371916,33.82173382,0,5.128205128,9.523809524,41.75824176,2.197802198,64.26906427,0.313971743,0.313971743,9.963369963,0.9,0.7,26.9,26.9,36,36,435.915493,432.0610687,11,10,0.994949613,0.822769227,0.95540292,0.822769227,93.76103334,92.83744215,86.5843733,97.4477496
17,17,5,Creek_4,66.89285714,0,0,0,0.178571429,18.92857143,14,0,3,0.711773798,1.491809034,0,3,0.052973283,1.491809034,33.10714286,NA,NA,NA,NA,C4,creek,1.5,29.8,35,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,29.8,29.8,35,35,0,0,0,0,0,0,0,0,109.5554847,98.03165853,109.238412,110.1703334
18,18,5,Creek_5,64.21212121,0,0,0,0.909090909,13.18181818,21.6969697,0,3,0.764577066,1.602479577,0,3,0.239217094,1.602479577,35.78787879,NA,NA,NA,NA,C5,creek,0.5,NA,34,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,NA,NA,34,34,0,0,0,0,0,0,0,0,108.2813055,98.79434688,107.7627969,111.2385164
19,19,5,Seagrass_14,45.66666667,51.57575758,1.575757576,0,1.181818182,0,0,0,3,0.235385841,0.493345954,53.15151515,2,0.235385841,0.493345954,54.33333333,80,19.69942857,19.16886667,17.99700262,S14,seagrass,0.5,NA,33,210,263.8095238,15,1.184825844,1.007426792,10.63492063,0,0.779220779,1.428571429,19.04761905,0,19.22077922,0.544217687,0.408163265,0.952380952,0.5,0.5,NA,NA,33,33,104.3478261,165.2631579,14,10,1.399087555,0.965119664,1.220707906,0.965119664,96.5755038,94.41886815,92.50164225,102.550496
20,20,5,Seagrass_15,61.36363636,25.06060606,4.666666667,8.727272727,0.181818182,0,0,0,4,0.897369412,1.49049833,38.45454545,2,0.897369412,1.49049833,38.63636364,90.625,21.76328283,22.82463333,21.9848822,S15,seagrass,1.5,NA,NA,262,401.5267176,14,1.03992975,0.907341691,16.5394402,0,0.416377516,4.580152672,40.83969466,0,27.68910479,0.109051254,0.763358779,0,1.5,1.5,NA,NA,NA,NA,103.8461538,296.2121212,9,12,1.205166205,0.928606299,1.262955898,0.860472977,98.51512057,97.24869849,92.54522752,104.2585871
21,21,6,Creek_3,58.03030303,0,0,0,0.454545455,35.90909091,5.606060606,0,3,0.451345834,0.945977212,0,3,0.06719688,0.945977212,41.96969697,NA,NA,NA,NA,C3,creek,1,30.5,34,249,61.04417671,5,0.513120393,0.734109317,0.267737617,0,4.965315809,0,26.5060241,0,0.584154801,0.229489386,0,0,1,1,30.5,30.5,34,34,35.65217391,26.11940299,2,4,0.457044533,0.386675236,1.518269075,0.642253665,104.6786588,95.55138142,104.1123346,105.3773964
22,22,6,Creek_6,61.96969697,0,0,0,0,0.757575758,37.27272727,0,2,0.097728846,0.324648199,0,2,0,0.324648199,38.03030303,NA,NA,NA,NA,C6,creek,NA,29.4,34,155,16.77419355,3,0.830517825,1.740685029,0.591397849,0,0.234604106,0,1.290322581,0,1.290322581,0,0,0,0.75-1.5,NA,29.4,NA,34,NA,8.387096774,NA,3,NA,0.830517825,NA,1.740685029,NA,94.14727241,93.22224732,86.97665817,93.84421024
23,23,6,Seagrass_1,81.27272727,0.242424242,14.84848485,0,3.636363636,0,0,0,3,0.558538323,1.1706423,15.09090909,2,0.558538323,1.1706423,18.72727273,14.375,18.225125,26.41796667,26.67104103,SG1,seagrass,1,30.4,34,242,101.6528926,9,1.133741478,1.188106238,3.305785124,0,2.028549962,0,12.39669421,0,6.461307288,0,0.708382527,0.165289256,1,1,30.4,30.4,34,34,17.69911504,79.84496124,4,8,1.062737568,1.059826016,1.765168893,1.173555273,101.108317,90.98033476,100.6647323,105.8549083
24,24,6,Seagrass_17,58.75757576,35.45454545,5.727272727,0,0.060606061,0,0,0,3,0.413738013,0.867154856,41.18181818,2,0.413738013,0.867154856,41.24242424,91.41666667,23.19232773,29.90963333,31.13912222,SG17,seagrass,1,29.4,32,221,173.7556561,13,1.151242041,1.033483469,7.013574661,0,0.493624023,3.167420814,7.692307692,0,13.41011929,0.129282482,0.258564964,0.36199095,1,1,29.4,29.4,32,32,83.33333333,91.08910891,9,9,1.075973002,1.108361431,1.127567669,1.161509176,98.59149108,96.81554452,93.85019124,103.4432941
